NIVEL_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
2,133409,133499,0.7736937251861321
2,133409,133402,0.7716478414273757
0,133410,133410,1.0
1,133410,133410,1.0
2,133410,133410,1.0
2,133410,133408,0.7822030474132133
2,133410,133407,0.774713023252725
2,133410,133499,0.7734383070366436
0,133411,133411,1.0
1,133411,133411,1.0
2,133411,133411,1.0
2,133411,133499,0.7935589674963792
2,133411,133404,0.7919048346081752
2,133411,133403,0.7839010307356106
2,133411,133407,0.7805515185860459
2,133411,133401,0.7720967415449991
0,133499,133499,1.0
1,133499,133499,1.0
2,133499,133499,1.0
1,133499,139399,0.8218239673404459
2,133499,139399,0.8218239673404459
1,133499,133404,0.8162445503792107
2,133499,133404,0.8162445503792107
2,133499,133407,0.7968125370928507
2,133499,133411,0.7935589674963792
2,133499,133403,0.7879620035554367
2,133499,133402,0.7800882544381752
2,133499,139304,0.7782720696023522
2,133499,139306,0.775620191589475
2,133499,133409,0.7736937251861321
2,133499,133410,0.7734383070366436
0,134200,134200,1.0
1,134200,134200,1.0
2,134200,134200,1.0
1,134200,135100,0.8080424422383539
2,134200,135100,0.8080424422383539
0,135100,135100,1.0
1,135100,135100,1.0
2,135100,135100,1.0
1,135100,134200,0.8080424422383539
2,135100,134200,0.8080424422383539
2,135100,133403,0.7876408377062178
2,135100,133401,0.7849551392975143
2,135100,133405,0.7758441955142318
0,139301,139301,1.0
1,139301,139301,1.0
2,139301,139301,1.0
0,139302,139302,1.0
1,139302,139302,1.0
2,139302,139302,1.0
2,139302,139399,0.7894634949610497
2,139302,139306,0.7808877479762221
2,139302,139304,0.7793560451049243
0,139303,139303,1.0
1,139303,139303,1.0
2,139303,139303,1.0
1,139303,139304,0.8456627398599217
2,139303,139304,0.8456627398599217
2,139303,139399,0.7816875529275727
0,139304,139304,1.0
1,139304,139304,1.0
2,139304,139304,1.0
1,139304,139303,0.8456627398599217
2,139304,139303,0.8456627398599217
1,139304,139399,0.8038236647066609
2,139304,139399,0.8038236647066609
2,139304,139302,0.7793560451049243
2,139304,133499,0.7782720696023522
2,139304,119999,0.7702432809008553
0,139305,139305,1.0
1,139305,139305,1.0
2,139305,139305,1.0
2,139305,139306,0.7798811803888631
0,139306,139306,1.0
1,139306,139306,1.0
2,139306,139306,1.0
2,139306,139399,0.7901424483369563
2,139306,139302,0.7808877479762221
2,139306,139305,0.7798811803888631
2,139306,133499,0.775620191589475
0,139399,139399,1.0
1,139399,139399,1.0
2,139399,139399,1.0
