TIPO_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
ADA-002_FULL,321304,322104,0.2232165887820898
ADA-002_FULL,321304,321302,0.22676353277580097
ADA-002_FULL,321304,322101,0.24407402375657258
ADA-002_FULL,321304,321305,0.26649158227121
ADA-002_FULL,321304,321399,0.28097620268955825
ADA-002_FULL,321304,311601,0.2844144477322917
ADA-002_FULL,321304,311602,0.29745719233054485
ADA-002_FULL,321305,321305,0.0
ADA-002_FULL,321305,311604,0.19388223352151773
ADA-002_FULL,321305,322107,0.2194873503867985
ADA-002_FULL,321305,321301,0.2541338643109781
ADA-002_FULL,321305,312404,0.2605439663392878
ADA-002_FULL,321305,321304,0.26649158227121
ADA-002_FULL,321305,321399,0.27062088274954427
ADA-002_FULL,321305,311601,0.2925089505889107
ADA-002_FULL,321305,321302,0.2993001772640693
ADA-002_FULL,321399,321399,0.0
ADA-002_FULL,321399,322199,0.21790491887257904
ADA-002_FULL,321399,321305,0.27062088274954427
ADA-002_FULL,321399,321301,0.2722772817867597
ADA-002_FULL,321399,321304,0.28097620268955825
ADA-002_FULL,322101,322101,0.0
ADA-002_FULL,322101,322104,0.12516357186107668
ADA-002_FULL,322101,312401,0.2273255295380573
ADA-002_FULL,322101,321301,0.23000465395341885
ADA-002_FULL,322101,322102,0.2315488280497524
ADA-002_FULL,322101,321304,0.24407402375657258
ADA-002_FULL,322101,322103,0.26549076696471297
ADA-002_FULL,322101,322105,0.26988122705992723
ADA-002_FULL,322101,322107,0.2742974438470185
ADA-002_FULL,322101,312402,0.27802620850333915
ADA-002_FULL,322101,322106,0.28073129062220326
ADA-002_FULL,322101,322199,0.2916299581656828
ADA-002_FULL,322101,312404,0.29829247869327674
ADA-002_FULL,322101,311601,0.29844036785249467
ADA-002_FULL,322102,322102,0.0
ADA-002_FULL,322102,321302,0.2136627038667551
ADA-002_FULL,322102,322101,0.2315488280497524
ADA-002_FULL,322102,322104,0.2562192287607129
ADA-002_FULL,322102,322103,0.27534531057196027
